epoch,train/loss,train/loss_ce,train/loss_bbox,train/loss_giou,train/loss_ce_dn,train/loss_bbox_dn,train/loss_giou_dn,val/loss,val/loss_ce,val/loss_bbox,val/loss_giou,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,metrics/F1
0,18.226981806637617,0.4977795243299947,0.08690547521496789,0.3250422546539107,0.1609233951452991,0.08131829771245348,0.22820026546790095,31.433598288174334,1.1643508950184132,0.32410394965574657,0.7490126170731825,0.0017258036479376405,0.007443821270290683,0.0017258036479376405,0.000355104076408502,0.0028019845996809707
1,11.974456751875103,0.28016101998355003,0.05607399554106549,0.24445618777145894,0.052198441628609864,0.0524906920374651,0.17873205751033838,27.053447591847387,1.0739046376326988,0.25011552060986386,0.6840464715556852,0.005271953913989366,0.06981111459320175,0.005271953913989366,0.001885170640707608,0.009803567865219583
2,10.832893696911816,0.21099240081201265,0.05381427352486426,0.23395661873917276,0.03720833203672739,0.04669299242866634,0.16671562257218245,21.241379984493914,0.953811519104859,0.17265126881478676,0.5436004944916429,0.03570759119558578,0.17079980301023798,0.03570759119558578,0.020486920558911888,0.05906664568240589
3,10.017977069751382,0.16495821106343947,0.051873878991056985,0.22635391744523506,0.029697244553631767,0.04244783413573512,0.1571465155632772,15.337775814122168,0.797612971786795,0.105797972160809,0.3788415065741745,0.1302447019738798,0.2984236980275545,0.1302447019738798,0.07271185620211641,0.18134346087284195
4,9.712469771577807,0.15571927408380387,0.05012448070102871,0.2223723544716248,0.02662568918605372,0.04093391359485502,0.1539668932263487,11.708412215627472,0.6344711950113033,0.07282128382538414,0.2915484433158718,0.25100177672050145,0.4289065806318074,0.25100177672050145,0.14512922522845104,0.3166788953879979
5,9.220144839122378,0.12994139041898434,0.04862880896721861,0.2164961726684582,0.02314545754532518,0.03877847068920144,0.14872598594852857,9.564680136483291,0.4849092823549591,0.05742716493791547,0.2487810748019095,0.3869267024385953,0.5226138334870121,0.3869267024385953,0.22595594573401498,0.44464922508184285
6,8.893316654736186,0.12376116569615038,0.0469666140043897,0.2093697387559954,0.020467493209822,0.03704887139381556,0.14456476407868815,8.159191978388819,0.36470522686582185,0.05104352032829975,0.2266473790052636,0.5083492445336533,0.573210471251222,0.5083492445336533,0.30466143615633917,0.5388349912938075
7,8.739047523789806,0.11187343308564478,0.04653556641705077,0.20987427045632465,0.018969964569460616,0.036149089958683905,0.14239020130867736,7.211967864940906,0.2650333135549364,0.04855262830146942,0.217924774720751,0.6248044007697694,0.5932897219980924,0.6248044007697694,0.372596729896526,0.608639385589623
8,8.409271398788603,0.10023378341096302,0.045391921249901865,0.20425217367451767,0.015441310230742628,0.0353090664936147,0.13734669339260444,6.607056017579703,0.20360750112489895,0.04763352903858598,0.2117320278595234,0.6923356085773875,0.6073823957342561,0.6923356085773875,0.41586023203581773,0.6470826120664221
9,8.340226462909154,0.09708844887017011,0.04470301367425052,0.2048549864789829,0.01612317449071449,0.03404517361797906,0.13774454434920708,6.190957379752192,0.1618744538201758,0.04733271474532526,0.20948019720100122,0.7518513482475251,0.6153826414489761,0.7518513482475251,0.4515024491360438,0.6768062703944933
10,8.1973550108266,0.09480007932024774,0.04439724649169615,0.20326928972390484,0.01603746311977079,0.0334352313201379,0.134449900270169,5.876030669130128,0.13436531657473474,0.04740316388678962,0.2054032601801486,0.795774064998644,0.6247972179977985,0.795774064998644,0.4718142751516017,0.6999964421598084
11,8.112668503681427,0.08612977020431589,0.04440431140610957,0.20138583957157993,0.014278983461122264,0.03342913233519078,0.13513100676678966,5.613807328816118,0.1179622205451998,0.04647190195251385,0.20072154809945617,0.8213660353287029,0.6313618683232567,0.8213660353287029,0.4901695867449987,0.7139385060874216
12,7.991441366120513,0.08573341871949551,0.043841524104693254,0.198026119093663,0.013941826599145356,0.03327456373363513,0.1316043067760215,5.446543619550508,0.10316218051292676,0.047168352223675825,0.19895766309366145,0.8333966684673656,0.6374295860233798,0.8333966684673656,0.5026487438786567,0.7223581871107527
13,7.824527450970241,0.08995046509886298,0.04194547623863875,0.19380333786600917,0.015148416084727431,0.031785391026814214,0.12941159954835924,5.316359770709071,0.09667589700407477,0.0464661810466827,0.19699140959258737,0.8445895519488508,0.6418487577072366,0.8445895519488508,0.5109769794972172,0.7293928731106306
14,7.647912697839033,0.08383683825520744,0.040452662229152586,0.19173355273021558,0.011410178036215081,0.031293136112419476,0.12821889767799471,5.21876781562279,0.0905610612154023,0.046101159865743126,0.19542714490972715,0.8560748248001003,0.6444706451080614,0.8560748248001003,0.5161254452218593,0.7353527176133596
15,7.537649918659567,0.07652076810390201,0.04060104710687631,0.1882511487441697,0.011915280392731533,0.031015765638746726,0.12599622832583676,5.144007123749832,0.08608169702447727,0.04619537476964038,0.19526186193628559,0.8615041287997048,0.6475091166445326,0.8615041287997048,0.5221573979918623,0.739333175648163
16,7.688437878791921,0.07441391593315283,0.04240034018721193,0.19361452476621555,0.015102613044291502,0.031637888917873794,0.12757220906503683,5.06902139556819,0.08360844323309219,0.04565997400867014,0.1936167204624106,0.8728572713521675,0.652185171396948,0.8728572713521675,0.5226185154888832,0.7465557064703088
17,7.53905213407695,0.07217483814381949,0.04072840418895991,0.19108016699956262,0.011888851852884463,0.03050011833166254,0.12610074714413416,5.017993948582945,0.07999830875005814,0.045622864505276084,0.19298238461387568,0.873448031226962,0.6511850962744251,0.873448031226962,0.5241732165855015,0.746115678645083
18,7.583257017464473,0.07832193991287326,0.041335083314864504,0.1914613737261354,0.011552003238670868,0.030909225063655395,0.12632430368676562,4.979616076781832,0.07869792825658806,0.045255465810347735,0.1920086478107962,0.8752306786016487,0.6509569609471358,0.8752306786016487,0.5242846563633327,0.7466152757450857
19,7.455264261203446,0.07364885890170367,0.04132595432123968,0.18961796116799556,0.01198325624037921,0.030072188681551242,0.12310101704791261,4.969128938584492,0.07585872408802469,0.04589079106868855,0.19246473105560089,0.8750787558992438,0.6519354172832879,0.8750787558992438,0.5227417406035834,0.7472030632091844
20,7.279718929910895,0.06923093641237894,0.04002462699091787,0.18365411419109465,0.011708532324658072,0.02995370285874554,0.12229944128781704,4.9412563155437335,0.07497290443204511,0.045411051612283135,0.19191503576163588,0.8761341228522692,0.6529858883024912,0.8761341228522692,0.5237643185279874,0.7482777209236471
21,7.159531717817185,0.06675778308576787,0.039087707486480765,0.18397160576372018,0.011597765525518383,0.028602559741109316,0.12022707053446417,4.9247645581590715,0.07373356350957504,0.04546585021508408,0.19130478407545337,0.8762816609585297,0.6593639231955746,0.8762816609585297,0.5258108450334634,0.7525024260232803
22,7.236348102832663,0.065766141603109,0.03945930416149826,0.18745074191777578,0.010513355970848853,0.02873701631926514,0.12250286853629086,4.907134622335434,0.07330816297100431,0.045414490215801476,0.19051256133564587,0.8741477560885291,0.6573295325538848,0.8741477560885291,0.5278062882566948,0.7503906720054074
23,7.1906159341041676,0.06581331696891768,0.039339866404297756,0.18453999221545134,0.011127839449723136,0.028958262415749614,0.12083211660458537,4.910493538297456,0.07426819868487655,0.045673640862364195,0.19071170745481705,0.8752389241182544,0.6568630312791482,0.8752389241182544,0.5289016994301813,0.7504880347740227
24,6.984016291026411,0.06047737268635515,0.03780946201585197,0.1830884296575497,0.009491966847466478,0.027615797444443986,0.11840291641505775,4.90431628864387,0.07453837350275817,0.04552024757842822,0.19002968278424492,0.8774607807940022,0.656960712733545,0.8774607807940022,0.5317910005734544,0.7513675510643667
25,7.148887591996217,0.06130114507772834,0.03949073305023201,0.1834804993306328,0.01135209816389949,0.028866380937122214,0.11999022654198073,4.903175264596939,0.07265514486902373,0.04562775382033453,0.19032761522022815,0.8755855559134855,0.6522631983644489,0.8755855559134855,0.5345519313085162,0.7476031034390617
26,6.907572275752504,0.060259156092349615,0.037097206057090625,0.17962064314174828,0.009724517617205986,0.02739250726695058,0.11829849082077372,4.907628481758052,0.07297206724791161,0.04606251597629282,0.19068145636340667,0.8786391739383961,0.6546800787621165,0.8786391739383961,0.5340100399930575,0.7503037121387054
27,6.902847074522761,0.058475569307129126,0.03767579840266792,0.17807016898809103,0.00920312943857909,0.02780220983091173,0.11709344928414364,4.893533628562401,0.07322070981322683,0.045978015192366876,0.19038579866675467,0.8765256568096762,0.6564735032898652,0.8765256568096762,0.5353866978492404,0.750706045542693
28,6.975562318792484,0.061750780633733016,0.03848435655190366,0.18009699052520867,0.009611505074931548,0.028048027552242203,0.11740683452249161,4.87035924812843,0.07303764658956488,0.04544035985198771,0.19001707787914524,0.8772599271417201,0.6547585036486929,0.8772599271417201,0.534668166523151,0.7498518107382399
29,6.852885216914961,0.06292933729776724,0.03711329039250468,0.17654510517719343,0.011757565332732044,0.02729103969882605,0.11603604605779272,4.879564152709369,0.07245057105432477,0.045959982876505316,0.19055397301141558,0.877622277628156,0.6541269440086721,0.877622277628156,0.5353338474651798,0.7495696689114394
30,6.911529550411431,0.057071932118954914,0.03733244483712418,0.1803404636901294,0.009676711208426756,0.027476095297405946,0.11806262354251787,4.877024019586629,0.07124557708372996,0.04590598550014969,0.19015151737578984,0.8770771488818597,0.6555841473390835,0.8770771488818597,0.5362567953948928,0.7503260847234425
