               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03479,            0.017599,           0.0036183,             0.84122,             0.80609,              0.8294,             0.43626,            0.035155,           0.0088652,           0.0027578,            0.008845,            0.008845,            0.008845
                  37,            0.035612,            0.017712,           0.0039217,             0.83618,             0.83707,             0.83882,             0.45241,            0.033737,           0.0089618,           0.0023745,            0.008812,            0.008812,            0.008812
                  38,            0.034667,            0.017246,           0.0034392,             0.81251,             0.82401,             0.83704,             0.43204,            0.033442,           0.0087635,            0.002287,            0.008779,            0.008779,            0.008779
                  39,            0.034979,            0.016633,           0.0032434,             0.82612,             0.82551,              0.8278,             0.43329,            0.034009,           0.0088849,           0.0027093,            0.008746,            0.008746,            0.008746
                  40,            0.034758,            0.017274,           0.0031556,             0.87962,             0.82248,             0.85177,             0.45119,             0.03418,           0.0087456,           0.0024246,            0.008713,            0.008713,            0.008713
                  41,             0.03417,            0.016878,           0.0033241,              0.8242,             0.80144,             0.78983,             0.42554,            0.034574,           0.0089439,           0.0023323,             0.00868,             0.00868,             0.00868
                  42,            0.033847,            0.017215,           0.0033319,             0.84203,             0.81941,             0.84469,             0.45517,            0.033563,           0.0088981,           0.0028258,            0.008647,            0.008647,            0.008647
                  43,            0.034065,            0.016883,           0.0035109,             0.85686,             0.81686,             0.84777,             0.47476,            0.033013,            0.009027,           0.0026622,            0.008614,            0.008614,            0.008614
                  44,            0.033804,            0.017147,           0.0032146,             0.86424,             0.79967,             0.84671,             0.47222,            0.032971,           0.0089355,           0.0025025,            0.008581,            0.008581,            0.008581
                  45,            0.033283,            0.017079,           0.0034167,             0.86983,             0.83736,             0.85663,             0.45474,             0.03422,           0.0088519,           0.0024402,            0.008548,            0.008548,            0.008548
                  46,            0.033303,            0.016524,           0.0034435,             0.81998,             0.82595,             0.82482,             0.44971,            0.033235,           0.0087031,           0.0023319,            0.008515,            0.008515,            0.008515
                  47,            0.033035,            0.016411,           0.0032347,             0.86733,             0.83756,             0.85452,             0.45393,            0.032563,           0.0084881,           0.0022284,            0.008482,            0.008482,            0.008482
                  48,            0.033618,            0.016466,           0.0029203,             0.86209,             0.82655,             0.86051,              0.4733,            0.033101,           0.0084596,           0.0020319,            0.008449,            0.008449,            0.008449
                  49,             0.03291,            0.016591,           0.0025941,             0.84402,             0.82487,             0.84815,               0.462,            0.033264,           0.0086304,           0.0019452,            0.008416,            0.008416,            0.008416
                  50,             0.03258,             0.01663,           0.0031782,             0.85181,             0.84123,             0.86389,             0.48027,            0.032336,             0.00872,           0.0019171,            0.008383,            0.008383,            0.008383
                  51,            0.032776,            0.016493,           0.0027659,             0.82576,             0.84959,             0.86539,             0.47475,            0.032114,           0.0085681,           0.0023241,             0.00835,             0.00835,             0.00835
                  52,            0.032929,            0.016502,           0.0028437,             0.86497,             0.81928,             0.85465,             0.47197,            0.032826,            0.008468,           0.0023608,            0.008317,            0.008317,            0.008317
                  53,            0.032517,            0.016297,           0.0027034,             0.86544,             0.83327,             0.85674,             0.46201,            0.032825,           0.0084572,           0.0022405,            0.008284,            0.008284,            0.008284
                  54,            0.031837,            0.015978,           0.0027722,              0.8348,             0.82214,              0.8431,             0.47717,            0.032522,            0.008564,           0.0022276,            0.008251,            0.008251,            0.008251
                  55,            0.032482,            0.016473,           0.0028029,             0.87898,             0.82839,             0.86624,              0.4709,            0.032886,           0.0084234,           0.0017501,            0.008218,            0.008218,            0.008218
                  56,            0.032088,            0.016041,           0.0029126,             0.86535,             0.84339,             0.85041,             0.47116,            0.032479,           0.0084647,           0.0021341,            0.008185,            0.008185,            0.008185
                  57,            0.032258,            0.016459,           0.0030692,             0.86589,             0.83646,             0.86691,             0.47979,            0.032786,           0.0084661,           0.0020347,            0.008152,            0.008152,            0.008152
                  58,            0.031746,             0.01633,           0.0027223,             0.85465,             0.84534,             0.86956,             0.48519,             0.03238,           0.0083343,           0.0020291,            0.008119,            0.008119,            0.008119
                  59,            0.031802,            0.016329,            0.002652,             0.87022,             0.84167,             0.86627,             0.50289,            0.032007,           0.0084691,           0.0021533,            0.008086,            0.008086,            0.008086
                  60,            0.031388,            0.016065,           0.0028726,              0.8799,             0.84002,             0.86704,             0.48602,            0.032456,           0.0085458,           0.0018652,            0.008053,            0.008053,            0.008053
                  61,            0.031945,             0.01612,           0.0028924,             0.86228,             0.82844,             0.86067,             0.45804,            0.033673,            0.008499,           0.0021167,             0.00802,             0.00802,             0.00802
                  62,            0.031602,            0.015588,           0.0025761,             0.85282,             0.85519,             0.86028,             0.45047,             0.03301,           0.0084667,           0.0019436,            0.007987,            0.007987,            0.007987
                  63,            0.031006,            0.015636,           0.0026337,             0.87912,             0.83321,             0.87109,             0.47751,            0.032144,           0.0085073,           0.0019204,            0.007954,            0.007954,            0.007954
                  64,            0.031078,            0.015476,           0.0023562,             0.87421,             0.83972,             0.88084,             0.47639,            0.031746,           0.0083899,           0.0018728,            0.007921,            0.007921,            0.007921
                  65,            0.031275,             0.01564,           0.0026613,             0.88475,             0.85311,             0.87133,             0.48204,            0.032085,           0.0083899,           0.0018951,            0.007888,            0.007888,            0.007888
                  66,            0.030877,            0.015767,           0.0025294,             0.86936,             0.87035,             0.87071,              0.4893,            0.031268,           0.0084289,           0.0019758,            0.007855,            0.007855,            0.007855
