               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038671,            0.019659,           0.0049867,             0.75455,             0.71577,             0.75112,             0.36987,             0.03696,            0.010205,           0.0034925,            0.008845,            0.008845,            0.008845
                  37,            0.038307,            0.019728,           0.0049079,             0.80133,              0.7892,             0.81392,             0.39716,            0.036552,           0.0098775,           0.0026933,            0.008812,            0.008812,            0.008812
                  38,            0.038386,            0.019213,           0.0046989,             0.80875,             0.76587,             0.79001,             0.37595,            0.036607,           0.0098567,            0.002027,            0.008779,            0.008779,            0.008779
                  39,            0.038383,            0.018602,           0.0044263,             0.79082,              0.7657,             0.79059,             0.38791,            0.037436,           0.0098935,           0.0024823,            0.008746,            0.008746,            0.008746
                  40,            0.037952,            0.019135,           0.0037553,             0.75886,             0.77631,             0.79498,             0.38206,            0.036766,           0.0096502,           0.0025999,            0.008713,            0.008713,            0.008713
                  41,            0.037483,            0.018718,           0.0040681,             0.79514,             0.80031,             0.79842,             0.40306,            0.036355,           0.0094232,           0.0024056,             0.00868,             0.00868,             0.00868
                  42,            0.037099,            0.018987,           0.0039371,             0.77423,             0.79403,             0.79885,             0.40427,            0.035901,           0.0098214,           0.0025179,            0.008647,            0.008647,            0.008647
                  43,            0.037205,            0.018734,           0.0042894,             0.82315,             0.77188,             0.81437,              0.4093,            0.035827,           0.0098354,           0.0022681,            0.008614,            0.008614,            0.008614
                  44,            0.037089,            0.018955,           0.0043677,             0.79271,             0.77846,             0.78609,              0.3784,            0.037012,             0.01007,              0.0025,            0.008581,            0.008581,            0.008581
                  45,            0.037273,            0.018846,           0.0037769,             0.83328,             0.81307,              0.8238,             0.41981,            0.035375,           0.0096334,            0.002283,            0.008548,            0.008548,            0.008548
                  46,            0.036712,            0.018508,           0.0039098,             0.79297,             0.78241,             0.80218,              0.3972,            0.036179,           0.0095504,           0.0024338,            0.008515,            0.008515,            0.008515
                  47,            0.036872,            0.018113,           0.0035845,             0.82357,             0.79022,             0.81551,             0.40064,            0.035207,           0.0093866,           0.0026941,            0.008482,            0.008482,            0.008482
                  48,            0.036592,            0.018001,           0.0036026,             0.80751,             0.79288,             0.81231,             0.42248,            0.035471,           0.0091411,           0.0024868,            0.008449,            0.008449,            0.008449
                  49,            0.036783,            0.018537,           0.0033827,             0.82338,             0.79067,             0.81965,             0.42285,            0.035581,           0.0097602,           0.0020305,            0.008416,            0.008416,            0.008416
                  50,            0.036651,            0.018738,            0.004247,             0.82336,             0.77859,             0.81806,             0.41654,            0.035078,           0.0096378,           0.0023018,            0.008383,            0.008383,            0.008383
                  51,            0.036178,            0.018457,           0.0038872,             0.81292,             0.80471,              0.8351,             0.40255,            0.035347,            0.009436,           0.0020759,             0.00835,             0.00835,             0.00835
                  52,            0.036257,            0.018237,           0.0032896,             0.83491,             0.78371,             0.81727,             0.40944,             0.03543,           0.0093976,           0.0021174,            0.008317,            0.008317,            0.008317
                  53,            0.035242,            0.018077,           0.0038595,             0.81962,             0.81045,             0.81441,             0.40372,            0.035624,           0.0093959,           0.0023109,            0.008284,            0.008284,            0.008284
                  54,            0.036002,            0.017748,           0.0033688,             0.79596,             0.80534,             0.81047,             0.42004,             0.03419,           0.0092119,           0.0025622,            0.008251,            0.008251,            0.008251
                  55,            0.035882,            0.018067,           0.0033829,              0.8315,             0.79677,             0.81858,              0.4178,            0.034696,           0.0093507,           0.0020002,            0.008218,            0.008218,            0.008218
                  56,            0.035772,            0.017791,           0.0035834,             0.84685,             0.82283,             0.83755,             0.42213,            0.035044,           0.0093484,           0.0020165,            0.008185,            0.008185,            0.008185
                  57,            0.035257,             0.01814,           0.0035298,             0.80457,             0.81675,              0.8181,             0.42207,            0.034333,           0.0092378,           0.0022415,            0.008152,            0.008152,            0.008152
                  58,            0.034554,            0.017979,           0.0031612,             0.79069,             0.77278,             0.78626,             0.39918,            0.034353,           0.0094737,           0.0023008,            0.008119,            0.008119,            0.008119
                  59,            0.034916,            0.017932,           0.0033255,             0.83605,              0.8041,             0.82469,             0.42336,            0.034461,           0.0091012,           0.0021988,            0.008086,            0.008086,            0.008086
                  60,            0.035206,            0.017755,           0.0035687,             0.85373,             0.81829,             0.83023,             0.43932,            0.033756,           0.0090309,            0.002351,            0.008053,            0.008053,            0.008053
                  61,            0.035018,            0.017921,           0.0032614,             0.85775,             0.82672,             0.84221,             0.43383,            0.033959,           0.0089994,           0.0023029,             0.00802,             0.00802,             0.00802
                  62,            0.034781,            0.017269,           0.0029921,             0.85307,              0.8249,             0.83402,             0.43235,            0.034027,           0.0090166,           0.0021573,            0.007987,            0.007987,            0.007987
                  63,            0.034172,            0.017607,           0.0034239,              0.8284,             0.81123,             0.82787,             0.44672,            0.033414,           0.0089797,           0.0018766,            0.007954,            0.007954,            0.007954
                  64,            0.034481,            0.017413,           0.0032851,             0.83938,             0.82567,             0.83714,              0.4333,            0.033635,           0.0090951,           0.0021457,            0.007921,            0.007921,            0.007921
                  65,            0.034526,            0.017133,           0.0034622,               0.864,             0.81575,             0.84623,             0.44425,            0.033509,           0.0091568,           0.0022233,            0.007888,            0.007888,            0.007888
                  66,            0.034487,            0.017594,           0.0032908,             0.87087,              0.8199,             0.85271,             0.45267,            0.033383,           0.0090415,           0.0019539,            0.007855,            0.007855,            0.007855
                  67,            0.034319,            0.017175,           0.0032371,             0.84056,             0.80782,              0.8484,             0.44659,            0.033186,           0.0089118,           0.0019296,            0.007822,            0.007822,            0.007822
                  68,            0.033736,            0.017319,           0.0030161,              0.8568,             0.83763,             0.85372,             0.47142,            0.032928,           0.0088474,           0.0020532,            0.007789,            0.007789,            0.007789
                  69,            0.034352,            0.017633,           0.0034553,             0.86114,              0.8324,             0.84505,              0.4465,            0.033552,           0.0090344,            0.002103,            0.007756,            0.007756,            0.007756
                  70,            0.033977,            0.017226,           0.0029664,             0.86049,             0.84451,             0.84621,             0.43284,            0.033791,           0.0088026,           0.0017914,            0.007723,            0.007723,            0.007723
                  71,            0.034158,            0.017203,           0.0027893,             0.83589,             0.82122,             0.84918,             0.46214,            0.033437,           0.0089653,            0.001836,             0.00769,             0.00769,             0.00769
                  72,            0.033805,            0.017395,           0.0033013,             0.85203,             0.83671,             0.84521,             0.43937,            0.033735,           0.0089029,           0.0018363,            0.007657,            0.007657,            0.007657
                  73,            0.033902,            0.017166,            0.003159,             0.86759,             0.82156,             0.85119,             0.46743,            0.033056,           0.0090446,           0.0020199,            0.007624,            0.007624,            0.007624
                  74,            0.033583,            0.016727,           0.0026841,             0.87515,             0.81331,             0.85217,             0.45765,            0.033598,           0.0089652,           0.0018623,            0.007591,            0.007591,            0.007591
                  75,            0.033415,            0.016763,           0.0028462,             0.83455,             0.82152,             0.83458,             0.43665,            0.033341,           0.0090312,           0.0020057,            0.007558,            0.007558,            0.007558
                  76,            0.033704,            0.017374,           0.0031346,             0.87809,             0.81122,             0.85096,             0.44608,            0.033523,            0.008931,           0.0019782,            0.007525,            0.007525,            0.007525
                  77,            0.033739,            0.016787,           0.0030052,             0.85195,             0.81578,             0.83352,             0.44512,            0.033442,           0.0089288,            0.002073,            0.007492,            0.007492,            0.007492
                  78,            0.032753,             0.01658,           0.0024967,              0.8401,             0.81744,             0.83877,             0.44955,            0.033547,           0.0087852,           0.0019217,            0.007459,            0.007459,            0.007459
                  79,            0.033049,            0.016596,           0.0028837,             0.85097,              0.8059,             0.83148,             0.45047,            0.033067,           0.0090557,           0.0024211,            0.007426,            0.007426,            0.007426
