epoch,train/loss,train/loss_ce,train/loss_bbox,train/loss_giou,val/loss,val/loss_ce,val/loss_bbox,val/loss_giou,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,metrics/F1
0,20.65226800336039,0.7077857222903539,0.2600592804953383,0.7131100520858624,17.48175684336958,0.6514794633820139,0.1964096944008408,0.6297942484761107,0.0018416603660860026,0.02876876876876877,0.0018416603660860026,0.00043591542675347635,0.0034617156779553557
1,16.7837629623601,0.6283422027315412,0.18484955325062052,0.6062912650663277,14.764720028844373,0.6049573084917562,0.1505962911479432,0.5327052632025604,0.007993599952936808,0.05160781749491427,0.007993599952936808,0.002617410723814268,0.013843034785522243
2,14.140811190816569,0.587424575768668,0.1389263976970917,0.5169766013111387,13.334362284890537,0.5842385181579096,0.12332568780101578,0.4927978840624464,0.009069415936936144,0.055939891504407646,0.009069415936936144,0.00239564604298918,0.015608292519600043
3,12.984649460891198,0.5429451369079463,0.12131835193616416,0.4835189039924462,12.148507249766382,0.4988570561439827,0.11406618642524399,0.44405075175494985,0.04071034136407114,0.09135337214528119,0.04071034136407114,0.01682280836360145,0.05632170815081695
4,12.52135124112585,0.5117694768192146,0.11960443041374531,0.4636734492085837,11.883064528991437,0.5145063834457562,0.1127832255743701,0.4502967617891986,0.04505733159838997,0.11298697163583467,0.04505733159838997,0.018676973246327114,0.06442359949853914
5,11.569402444538811,0.46630837026928446,0.10941942974814935,0.4402434711752854,10.456512882791717,0.46735769272621336,0.09425342680308325,0.39444991881991254,0.07172984989129479,0.14193264348818257,0.07172984989129479,0.03422244006895975,0.09529802869051301
6,10.977410673507915,0.4529824638968618,0.09823801787799509,0.4238850199089849,10.396975056878452,0.4448116749910445,0.09567335437469442,0.4009319443641038,0.08686537249462856,0.15938230975167814,0.08686537249462856,0.03457977617465829,0.1124461646041863
7,10.443883134226494,0.42827619549822926,0.0924364226214184,0.41077514741514704,9.966666809443769,0.4613203094180288,0.08711972158273747,0.37210768011623413,0.10144124947068184,0.1970119204045057,0.10144124947068184,0.04890077074551011,0.13392476531450015
8,10.252956802621851,0.42010785085080293,0.0904530063867936,0.4028436603951337,10.187740013517182,0.4203483798894389,0.08715575885284564,0.392426293086389,0.1251500618171649,0.2172605349128762,0.1251500618171649,0.05787513500877275,0.15881616769129187
9,10.111438387720456,0.40927187771320783,0.08792607239424595,0.39637197029267623,9.566172114733991,0.4367408363533945,0.07950254776996785,0.3568084988871525,0.1248321896638511,0.24951628185015956,0.1248321896638511,0.0643295262133799,0.16640999598136347
