epoch,iteration,lr,train_loss_loc,train_loss_conf,train_loss_total,val_loss_loc,val_loss_conf,val_loss_total,val_mAP_0.5,val_mAP_0.5_0.95,val_P,val_R,val_F1
1,50,0.001,3.705277695655823,2.792651405334473,6.497929100990296,3.2011820316314696,2.3830380042394004,5.58422003587087,0.0012516013569065032,0.00024988484194719574,0.4024424716119854,0.03118763925215538,0.004163733648319367
2,100,0.001,3.2401481342315672,2.3617088985443115,5.601857032775879,2.9850606600443523,2.1603777011235556,5.145438361167908,0.01034965154956304,0.002557232337065127,0.22838508617696102,0.0914153335081738,0.027603945426652832
3,150,0.001,3.2481167840957643,2.232693727016449,5.480810511112214,2.93264586130778,2.114764912923177,5.047410774230958,0.015019782929176917,0.005174401876988113,0.47541015923936697,0.06213670397384008,0.021334824448516265
4,200,0.001,3.0755589628219604,2.1629093933105468,5.238468356132508,2.8044952551523843,2.048716600735982,4.853211855888366,0.012307196015224089,0.0033444865510017185,0.6167422936086209,0.018618618618618618,0.017630675221083383
5,250,0.001,2.8627771759033203,2.086471881866455,4.949249057769775,2.6587888558705646,2.0178693294525147,4.676658185323079,0.0324823721262818,0.011888873449891472,0.36273408870698864,0.1008609023696537,0.058789390045677625
6,300,0.001,2.710397777557373,2.0312297558784485,4.741627533435821,2.562162478764852,1.9344708681106568,4.496633346875509,0.031939915739148214,0.009421770693358908,0.24828462607878204,0.17939036436185962,0.04613562597007263
7,350,0.001,2.7247482347488403,1.9785099697113038,4.703258204460144,2.501325551668803,1.8833166519800821,4.384642203648886,0.03494665878213431,0.009932944560775939,0.48101938446427217,0.0564872898075101,0.043556686376173395
8,400,0.001,2.54279465675354,1.9245510768890381,4.467345733642579,2.4317315419514975,1.882657241821289,4.314388783772786,0.038765832568525574,0.010919099981370008,0.4494193630847533,0.07926463048414267,0.06087550686225879
9,450,0.001,2.5030215120315553,1.9291542744636536,4.432175786495209,2.278748106956482,1.8494023323059081,4.12815043926239,0.06528074450705829,0.02388331501768613,0.157281552022483,0.15667263960216513,0.0850286853655245
10,500,0.001,2.3836432337760924,1.875620276927948,4.259263510704041,2.2378438472747804,1.7996976455052693,4.03754149278005,0.07027606478303024,0.024117096786750003,0.2903100498858883,0.20306505225462831,0.09494514409114793
11,550,0.001,2.418216323852539,1.8300961184501647,4.248312442302704,2.1226536909739178,1.7489917198816936,3.8716454108556113,0.08108305805703213,0.030719768458476286,0.20496821024080872,0.15785746276820953,0.12943460311142962
12,600,0.001,2.2986838316917417,1.8099973011016846,4.108681132793427,2.0709648529688516,1.7307367245356242,3.801701577504476,0.08340641047339017,0.0354053903619593,0.24165286275371126,0.14773668162061832,0.12589378542710192
13,650,0.001,2.212915692329407,1.7577362751960754,3.970651967525482,2.004154173533122,1.6494790236155192,3.653633197148641,0.07144358679899503,0.02133644111059761,0.17965963963501955,0.1658229172380547,0.1026875894455179
14,700,0.001,2.1423092007637026,1.6747033977508545,3.817012598514557,1.9475640058517456,1.6116620779037476,3.559226083755493,0.13089039675601305,0.043336552995087804,0.22173557433596797,0.22225276950584494,0.19565018081569815
15,750,0.001,2.035069453716278,1.6719725632667541,3.7070420169830323,1.875148105621338,1.576273210843404,3.4514213164647423,0.11309496649078277,0.0382376667914222,0.2570635377634037,0.16442814633098574,0.1561170743080367
16,800,0.001,2.029931650161743,1.638548836708069,3.6684804868698118,1.8303158442179361,1.5546412944793702,3.384957138697306,0.12198269774293839,0.04626290620501768,0.19850392409655576,0.13397101249652063,0.1542200520938493
17,850,0.001,1.8909969019889832,1.5848687052726746,3.4758656072616576,1.772373874982198,1.5420591195424398,3.314432994524638,0.15398434175926395,0.06119577493710568,0.39911236996267574,0.22308988989588524,0.2013552584324382
