epoch,train/loss,train/loss_ce,train/loss_bbox,train/loss_giou,train/loss_ce_dn,train/loss_bbox_dn,train/loss_giou_dn,val/loss,val/loss_ce,val/loss_bbox,val/loss_giou,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,metrics/F1
0,39.484134594207916,0.627640755158927,0.382441524985095,0.8873252917833516,0.2886531597801617,0.11569450037746594,0.3222011220572617,68.15313207692114,1.0956166150241062,1.108968708278804,1.5347028343841946,3.032926971667912e-07,9.009009009009009e-05,3.032926971667912e-07,9.098780915003738e-08,6.045501466783103e-07
1,33.87460324799486,0.5775083515591222,0.30013195216068494,0.7886273641451239,0.18298568363700593,0.10957091621907768,0.30861875326762644,53.6670661465875,0.967824694411508,0.8045442209675394,1.3558121405798813,3.323111974743844e-05,0.0010323438192290652,3.323111974743844e-05,6.933377899053341e-06,6.438954187544429e-05
2,33.685528750490086,0.5659490009687217,0.2965506867968977,0.7919382677950295,0.17796009595464604,0.10978229424636353,0.30850717718965315,51.71185832188047,0.8591304205614945,0.7849445677009123,1.3034196696404754,1.4330844849190801e-05,0.0006606606606606606,1.4330844849190801e-05,2.888674195165391e-06,2.8053169109851076e-05
3,32.367427929281604,0.560406766941982,0.2779144515911934,0.7598961305442115,0.17106498109883275,0.1071611023897975,0.3052557473772852,52.03977446720518,0.7802330543254984,0.8102481334373869,1.2956051579837142,2.6482791195156346e-05,0.0034892339147658295,2.6482791195156346e-05,8.760935411630248e-06,5.256660927151746e-05
4,32.5718757319333,0.5532704237940276,0.2803768084884571,0.7658951987920724,0.16639952772650227,0.10520462712199596,0.30481099975960596,50.901776494651,0.7160777115616305,0.7964610740028578,1.2748099000289523,0.00029110303454469357,0.007709411539198773,0.00029110303454469357,6.116220611608098e-05,0.0005610221874927546
5,31.664953025103788,0.5503154675214749,0.2638577534977732,0.7474365236577142,0.1658131357080537,0.10516205069430062,0.3030064690656263,48.6849365234375,0.6605641143075351,0.751531914518825,1.252091124139983,0.00014464185517421151,0.007415985238388192,0.00014464185517421151,3.6342763051043634e-05,0.00028374944288374
6,29.4744347022672,0.5413922736503808,0.22902350672727148,0.6958078974353269,0.16075313272954794,0.10120453082685693,0.3019096347425372,46.24243369595758,0.6224579908724489,0.6968741937187212,1.225290301544913,0.0003443734232877363,0.012823082638390559,0.0003443734232877363,5.9281021993678096e-05,0.0006707337916449771
7,27.194164501622392,0.5271695667299731,0.19544070668224925,0.6223274305683052,0.15549011807429966,0.10088818384738171,0.29983287102776796,44.015727799514245,0.5966674248720037,0.6511409168356451,1.1916212177482144,0.0031861073654281405,0.022338561859774647,0.0031861073654281405,0.0005780646061978931,0.0055768053914073325
8,25.010859263941573,0.51344895362854,0.16672816957929745,0.5530194050352562,0.14549983395584698,0.09898230711025705,0.2962937377062924,40.78446695722383,0.5747516974806786,0.5863009768313375,1.131945752892001,0.004236681964923131,0.041473637112147674,0.004236681964923131,0.0009485739626206509,0.007688006293569812
9,23.11046320346776,0.49697862704986423,0.14396484829301903,0.4948300288742399,0.13259902077135194,0.09585784798203578,0.29136455884854784,34.76953336288189,0.557875549228027,0.4612314261752984,1.0206856242027775,0.00949879285244994,0.07172779991327795,0.00949879285244994,0.002442591077250243,0.016775971758492304
