epoch,iteration,lr,train_loss_loc,train_loss_conf,train_loss_total,val_loss_loc,val_loss_conf,val_loss_total,val_mAP_0.5,val_mAP_0.5_0.95,val_P,val_R,val_F1
1,100,0.001,3.5824582958221436,2.60862886428833,6.191087160110474,3.191376209259033,2.275184520359697,5.46656072961873,0.019734325336774057,0.006890065903927842,0.22225924071204037,0.06426982265520247,0.03837298129503353
2,200,0.001,3.28196213722229,2.2856508719921114,5.567613009214401,2.9456559625165215,2.126527868468186,5.072183830984708,0.034303049806088316,0.012896880503870051,0.35540041355532703,0.0958209325007767,0.05452563439440009
3,300,0.001,2.99850483417511,2.146119922399521,5.144624756574631,2.778256325886167,1.9825742368040413,4.7608305626902085,0.03985515123497636,0.011828137692671476,0.04268186517518631,0.15583347471059786,0.053586188412903836
4,400,0.001,2.828808480501175,2.050852507352829,4.879660987854004,2.5932279660783966,1.9191462253702098,4.512374191448607,0.06657178490455748,0.02613094848946578,0.27468321181166605,0.10387943905113846,0.11282230813013763
5,500,0.001,2.802807646989822,1.9532328033447266,4.756040450334549,2.524461002185427,1.832201916595985,4.356662918781412,0.08518680786606211,0.030851131568237492,0.22274099907163114,0.10254119552102488,0.11658685423787037
6,600,0.001,2.653442847728729,1.8919362485408784,4.545379096269608,2.3152287294124734,1.788184614017092,4.103413343429565,0.11013697420332183,0.03854220188043823,0.2844018742129718,0.19520969152632686,0.1718776645465874
7,700,0.001,2.5015869510173796,1.8525428891181945,4.354129840135574,2.230082368028575,1.7910941633684883,4.021176531397064,0.10223159628324227,0.03356774719681252,0.3505934896517821,0.11735952482754655,0.1415589596308687
8,800,0.001,2.3228458619117736,1.7722983241081238,4.095144186019898,1.9710760856496876,1.6545704027702068,3.6256464884198945,0.10735915235001763,0.04546470851796285,0.47384952542038195,0.12731667923208329,0.1568795108732009
9,900,0.001,2.2461902964115144,1.7345880246162415,3.980778321027756,1.9278497572602897,1.6474295073542102,3.5752792646145,0.1124103766333951,0.04525472593424849,0.2732681673356519,0.12959781541512885,0.14300932747975623
10,1000,0.001,2.138318989276886,1.6780835723876952,3.8164025616645816,1.9313125898098122,1.5223013779212689,3.453613967731081,0.1525318040100514,0.05440279951042974,0.2479693298001969,0.19797978780584777,0.19611543865346137
11,1100,0.001,2.0505137252807617,1.644780720472336,3.6952944457530976,1.8099502366164635,1.5181462846953293,3.328096521311793,0.166659591623112,0.06265963411579015,0.318738179140682,0.18598266731366467,0.1907644601471323
12,1200,0.001,1.991634042263031,1.6215250396728516,3.6131590819358825,1.7950564499559074,1.5049088412317737,3.2999652911876813,0.18130558321140117,0.06701665221758152,0.2908598146940163,0.22252710609124388,0.23686420684892034
13,1300,0.001,1.860600801706314,1.5725798916816711,3.4331806933879854,1.712642344935187,1.4691107314208458,3.181753076356033,0.18588338476830352,0.07824989225398726,0.3235197963521084,0.19103637482785887,0.20351753587301355
14,1400,0.001,1.7871072900295257,1.5350654995441437,3.3221727895736697,1.5576665976951862,1.4824066573175891,3.0400732550127754,0.2168724424730512,0.08177082497790053,0.28256161550033504,0.3154239696797416,0.23294415679120584
15,1500,0.001,1.7667009484767915,1.5094635820388793,3.276164530515671,1.6268629143977988,1.4379340697979104,3.0647969841957092,0.24590657190584472,0.08762379201186313,0.40467581791918406,0.29892665731035784,0.3199007433807194
16,1600,0.001,1.8096049666404723,1.52632275223732,3.3359277188777923,1.5018658658553814,1.3808373336134285,2.8827031994688097,0.26736297725828734,0.10489026117274598,0.4251529622892526,0.2952894530688491,0.32443672877399193
17,1700,0.001,1.6488400936126708,1.462971934080124,3.1118120276927947,1.5242047186555534,1.350681029517075,2.8748857481726287,0.2877852144219883,0.10783526961940063,0.36361825500931877,0.29660272359495315,0.31171625249219215
18,1800,0.001,1.6554109168052673,1.4656163990497588,3.1210273158550264,1.4372661586465507,1.3775522215613003,2.814818380207851,0.3009095241286498,0.11090892910850135,0.4162446352935764,0.3215731794312002,0.34040233012574234
19,1900,0.001,1.5878647541999817,1.4190962731838226,3.006961027383804,1.5388605368548427,1.371512166384993,2.910372703239836,0.25336391663307695,0.09485571281018934,0.3552184700633859,0.27414982858534226,0.2990174403936291
20,2000,0.001,1.5973490047454835,1.4182768166065216,3.015625821352005,1.468706840071185,1.3104809111562268,2.7791877512274117,0.32671265258312454,0.13969410451013725,0.42460954198796613,0.34401494593007526,0.3767454763800283
21,2100,0.001,1.5091507321596145,1.3974635303020477,2.9066142624616624,1.3910216545236522,1.3410242508197654,2.7320459053434174,0.31488568524420896,0.13078873671264202,0.43444911585039847,0.35378176011578794,0.36478795407534514
22,2200,0.001,1.5387952530384064,1.4362922143936157,2.9750874674320222,1.337465645938084,1.3444179666453395,2.6818836125834236,0.31548399660466525,0.1369896343239436,0.411224297086428,0.3496591410355262,0.3721784280425413
23,2300,0.001,1.5418026942014693,1.4170238304138183,2.9588265246152874,1.3687850894599125,1.3186712758294468,2.6874563652893593,0.3118344640223495,0.1196246725873136,0.3556985309733519,0.379303247823545,0.32575380011755906
24,2400,0.001,1.4737304663658142,1.3670032489299775,2.8407337152957917,1.3396647243664181,1.2864549941030041,2.6261197184694223,0.3538721193786868,0.16550733086480995,0.5152199849763213,0.3751956024152783,0.4125860767065535
25,2500,0.001,1.464639773964882,1.3508296191692353,2.8154693931341175,1.2908681261128392,1.284510300077241,2.5753784261900803,0.3728127329016004,0.16126607980525828,0.494027396185383,0.399479001532068,0.4251050442871966
26,2600,0.001,1.4046660882234574,1.3477063119411468,2.752372400164604,1.269988409404097,1.2512258784524326,2.5212142878565293,0.36296117048935683,0.1722293917890246,0.4639183179547615,0.37292340730434265,0.38328755591586905
