               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038255,            0.018986,           0.0046214,              0.7542,             0.75106,             0.77534,             0.37414,            0.035363,            0.010015,           0.0024238,            0.006535,            0.006535,            0.006535
                  37,            0.036812,            0.019437,           0.0045875,             0.79381,             0.76549,             0.78306,             0.38729,            0.035981,           0.0097758,            0.002348,            0.006436,            0.006436,            0.006436
                  38,            0.037395,            0.019338,           0.0044109,             0.80161,             0.76883,             0.78901,             0.39531,            0.034972,           0.0096576,           0.0023232,            0.006337,            0.006337,            0.006337
                  39,            0.037071,            0.018374,           0.0040889,             0.77968,             0.72564,              0.7904,             0.39523,            0.035047,           0.0096838,           0.0024997,            0.006238,            0.006238,            0.006238
                  40,            0.036736,            0.018845,           0.0041249,              0.8344,             0.77464,              0.8064,             0.40534,            0.034986,           0.0096305,           0.0021875,            0.006139,            0.006139,            0.006139
                  41,            0.036756,            0.019096,           0.0042097,             0.76105,             0.78358,             0.78454,             0.37985,            0.034836,           0.0097492,           0.0024105,             0.00604,             0.00604,             0.00604
                  42,            0.035944,            0.018663,           0.0039424,             0.78754,             0.80482,             0.80051,              0.4121,            0.033854,           0.0095738,           0.0021588,            0.005941,            0.005941,            0.005941
                  43,             0.03579,             0.01866,           0.0043095,             0.78988,             0.79466,             0.79249,             0.40791,             0.03518,           0.0093377,            0.002176,            0.005842,            0.005842,            0.005842
                  44,            0.035717,             0.01828,            0.003957,             0.80451,             0.74937,             0.79654,             0.40306,            0.033959,            0.009588,           0.0029339,            0.005743,            0.005743,            0.005743
                  45,            0.036172,            0.018455,           0.0035885,             0.82724,             0.79138,             0.82307,             0.41406,            0.034553,           0.0094062,           0.0020373,            0.005644,            0.005644,            0.005644
                  46,            0.035206,            0.017697,           0.0038601,             0.79953,             0.78499,             0.80705,             0.42513,            0.033768,           0.0092297,           0.0021411,            0.005545,            0.005545,            0.005545
                  47,            0.035773,            0.018107,            0.003803,             0.83017,             0.78123,             0.81372,             0.41493,            0.033767,           0.0091981,           0.0020161,            0.005446,            0.005446,            0.005446
                  48,            0.034835,            0.018493,            0.003641,             0.83475,              0.8065,             0.84104,             0.43577,            0.033689,           0.0093368,           0.0019997,            0.005347,            0.005347,            0.005347
                  49,            0.035299,            0.017826,           0.0030903,             0.86057,               0.787,             0.83588,             0.43971,            0.032864,           0.0093701,           0.0019786,            0.005248,            0.005248,            0.005248
                  50,            0.034562,            0.018353,           0.0033322,              0.8148,             0.81107,             0.82646,              0.4472,            0.032818,           0.0092582,           0.0024246,            0.005149,            0.005149,            0.005149
                  51,             0.03427,            0.017739,           0.0030943,             0.84742,             0.80344,             0.84121,             0.45647,             0.03276,           0.0093115,           0.0019591,             0.00505,             0.00505,             0.00505
                  52,            0.033866,            0.018007,           0.0030701,             0.81911,             0.79094,             0.82439,             0.44508,            0.033512,           0.0093939,           0.0020418,            0.004951,            0.004951,            0.004951
                  53,            0.034378,            0.017577,           0.0032566,             0.83695,             0.78071,             0.83992,             0.45745,            0.033175,           0.0092309,            0.002891,            0.004852,            0.004852,            0.004852
                  54,            0.033651,            0.017163,           0.0028617,             0.82423,             0.82099,             0.84683,             0.47619,            0.032724,           0.0090987,           0.0022778,            0.004753,            0.004753,            0.004753
                  55,            0.033601,            0.017857,           0.0031902,             0.83657,             0.83552,             0.83833,             0.46552,            0.032587,           0.0089537,           0.0019349,            0.004654,            0.004654,            0.004654
                  56,            0.033567,            0.017174,           0.0030909,             0.85122,             0.83522,             0.84991,             0.46519,            0.032587,           0.0091408,           0.0016728,            0.004555,            0.004555,            0.004555
                  57,            0.033411,            0.017957,           0.0033512,              0.8167,             0.80931,             0.83271,             0.46047,            0.032333,           0.0090401,           0.0020291,            0.004456,            0.004456,            0.004456
                  58,            0.033185,            0.017684,           0.0029689,             0.80794,             0.81941,             0.83091,             0.46465,             0.03185,           0.0090097,           0.0021565,            0.004357,            0.004357,            0.004357
                  59,              0.0326,             0.01724,           0.0029593,             0.83799,             0.80667,             0.84121,             0.44595,            0.032345,           0.0087481,           0.0016392,            0.004258,            0.004258,            0.004258
                  60,            0.032954,            0.017409,           0.0027629,             0.85473,             0.80929,             0.84905,             0.47696,            0.031957,            0.008991,           0.0017414,            0.004159,            0.004159,            0.004159
                  61,            0.032595,             0.01717,           0.0026714,             0.84257,             0.81652,             0.84176,             0.46491,            0.032271,           0.0090678,           0.0019016,             0.00406,             0.00406,             0.00406
                  62,            0.032545,            0.016863,            0.002525,             0.82207,             0.80936,             0.84072,             0.44574,            0.032906,           0.0088606,           0.0021211,            0.003961,            0.003961,            0.003961
                  63,            0.031761,            0.016467,           0.0026511,             0.82173,             0.84073,             0.85487,             0.46778,            0.031591,           0.0087292,           0.0017672,            0.003862,            0.003862,            0.003862
                  64,            0.032181,            0.017182,           0.0028369,             0.82201,             0.80756,             0.83497,             0.46485,             0.03194,           0.0089714,           0.0019705,            0.003763,            0.003763,            0.003763
                  65,            0.031881,            0.016743,           0.0027302,             0.83943,             0.81989,             0.84235,             0.47731,            0.032094,           0.0088741,           0.0020983,            0.003664,            0.003664,            0.003664
                  66,            0.031502,            0.017207,           0.0023871,             0.85867,             0.82636,             0.85455,             0.47639,            0.031685,           0.0088105,           0.0017634,            0.003565,            0.003565,            0.003565
                  67,             0.03178,            0.016481,           0.0025571,             0.85024,             0.85728,             0.85869,             0.48279,            0.031819,           0.0089127,           0.0019657,            0.003466,            0.003466,            0.003466
                  68,            0.031297,            0.016513,           0.0026868,             0.86515,             0.82397,             0.85756,             0.46224,            0.031455,           0.0088238,           0.0015436,            0.003367,            0.003367,            0.003367
                  69,            0.031238,            0.016425,           0.0025579,             0.85906,             0.82496,             0.85463,             0.48605,            0.031705,           0.0088015,           0.0018203,            0.003268,            0.003268,            0.003268
                  70,            0.030918,             0.01665,             0.00215,             0.85818,             0.83344,             0.85688,             0.49398,             0.03115,           0.0088017,           0.0013833,            0.003169,            0.003169,            0.003169
                  71,            0.030825,            0.016469,           0.0022863,             0.85527,             0.86291,             0.86193,             0.48198,            0.030964,           0.0087475,           0.0015788,             0.00307,             0.00307,             0.00307
                  72,            0.030934,            0.016465,           0.0022958,              0.8608,             0.85797,             0.86578,             0.48735,            0.031038,           0.0087551,           0.0014575,            0.002971,            0.002971,            0.002971
                  73,            0.030068,            0.016115,           0.0025547,             0.87543,             0.82847,             0.86435,             0.49203,            0.030988,           0.0087331,           0.0013811,            0.002872,            0.002872,            0.002872
                  74,            0.030322,            0.016052,           0.0020804,             0.86011,             0.83247,             0.86094,             0.49746,            0.030479,           0.0085309,           0.0015062,            0.002773,            0.002773,            0.002773
                  75,            0.030578,            0.016371,           0.0021625,             0.85685,              0.8242,             0.85425,             0.48605,            0.030353,            0.008468,           0.0014296,            0.002674,            0.002674,            0.002674
                  76,            0.029863,            0.016343,           0.0021515,             0.88797,             0.82737,             0.86791,             0.48708,             0.03009,           0.0085831,           0.0013088,            0.002575,            0.002575,            0.002575
                  77,            0.030191,            0.015946,           0.0021151,             0.86252,             0.84927,             0.86402,             0.49486,             0.03038,           0.0084959,           0.0014167,            0.002476,            0.002476,            0.002476
                  78,            0.029465,            0.015706,           0.0018462,             0.86622,             0.84727,             0.85948,             0.50822,            0.030167,           0.0085496,           0.0014562,            0.002377,            0.002377,            0.002377
                  79,            0.029651,            0.015665,           0.0021717,             0.87082,             0.84027,             0.85802,             0.49695,            0.030732,           0.0085525,            0.001437,            0.002278,            0.002278,            0.002278
                  80,            0.029267,            0.015613,           0.0020611,             0.87122,             0.83829,             0.87034,             0.50431,            0.030263,            0.008527,           0.0014155,            0.002179,            0.002179,            0.002179
                  81,            0.028797,            0.015743,           0.0020036,             0.87668,             0.83481,             0.86292,             0.49626,            0.030295,           0.0085374,           0.0013111,             0.00208,             0.00208,             0.00208
                  82,            0.029259,            0.015917,           0.0020587,              0.8718,             0.84073,             0.86143,             0.50653,            0.030112,           0.0084741,           0.0013218,            0.001981,            0.001981,            0.001981
                  83,            0.029354,            0.015835,           0.0020066,             0.87809,             0.84715,             0.85944,             0.50682,            0.030052,           0.0084057,            0.001309,            0.001882,            0.001882,            0.001882
                  84,            0.028823,            0.015356,           0.0020746,             0.88584,              0.8578,             0.87346,              0.5074,            0.030041,           0.0083919,           0.0013913,            0.001783,            0.001783,            0.001783
                  85,             0.02834,            0.015637,           0.0019891,             0.88513,             0.84464,             0.87099,             0.50221,            0.030012,           0.0083481,           0.0013899,            0.001684,            0.001684,            0.001684
                  86,            0.028275,            0.015355,           0.0020014,             0.88224,              0.8378,              0.8632,             0.50516,            0.029727,            0.008412,           0.0012793,            0.001585,            0.001585,            0.001585
                  87,            0.028172,            0.015327,           0.0018932,             0.89172,             0.83806,             0.86929,             0.50865,            0.029874,           0.0083505,           0.0012658,            0.001486,            0.001486,            0.001486
                  88,             0.02802,            0.015933,           0.0016753,             0.88539,             0.83104,             0.86004,             0.50748,            0.029728,           0.0082818,           0.0012587,            0.001387,            0.001387,            0.001387
                  89,            0.028048,            0.015289,           0.0016451,             0.86448,              0.8268,             0.86059,             0.50836,            0.029755,           0.0083576,           0.0014402,            0.001288,            0.001288,            0.001288
                  90,            0.028067,            0.015614,           0.0019194,             0.87794,             0.85232,             0.87511,             0.51592,            0.029798,           0.0084356,           0.0013575,            0.001189,            0.001189,            0.001189
                  91,            0.027518,            0.015006,           0.0016906,              0.8808,             0.83977,             0.86873,             0.51221,            0.029844,           0.0084849,           0.0012385,             0.00109,             0.00109,             0.00109
                  92,            0.027602,            0.015519,           0.0016292,             0.86781,              0.8638,             0.87884,             0.51153,            0.029766,           0.0084241,           0.0012326,            0.000991,            0.000991,            0.000991
                  93,            0.027483,            0.015614,            0.001535,             0.86892,             0.84955,             0.87509,             0.51464,            0.029769,           0.0084605,           0.0012827,            0.000892,            0.000892,            0.000892
                  94,            0.027241,            0.015008,           0.0016048,             0.86307,             0.86715,             0.87088,             0.51023,             0.02965,            0.008455,           0.0012916,            0.000793,            0.000793,            0.000793
                  95,            0.027669,            0.015137,           0.0017002,             0.88931,             0.84039,              0.8717,             0.51636,            0.029461,           0.0083535,           0.0012452,            0.000694,            0.000694,            0.000694
                  96,            0.027122,            0.015063,           0.0014183,             0.88475,              0.8524,             0.87468,             0.52358,            0.029614,           0.0083556,           0.0012671,            0.000595,            0.000595,            0.000595
                  97,            0.027234,            0.015087,           0.0015359,             0.88764,             0.83929,             0.87008,             0.51772,            0.029499,            0.008375,           0.0012837,            0.000496,            0.000496,            0.000496
                  98,            0.027318,            0.015171,           0.0017393,             0.88209,             0.85284,             0.87437,              0.5174,            0.029477,           0.0083352,           0.0012917,            0.000397,            0.000397,            0.000397
                  99,            0.027247,            0.015489,           0.0017659,             0.88897,              0.8462,             0.87934,             0.52286,            0.029279,           0.0083488,           0.0012737,            0.000298,            0.000298,            0.000298
