epoch,train/loss,train/loss_ce,train/loss_bbox,train/loss_giou,val/loss,val/loss_ce,val/loss_bbox,val/loss_giou,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,metrics/F1
0,20.428831978971736,0.7054562059969738,0.2500731396612716,0.7076036882371151,18.138858269000874,0.6673552054783394,0.2101739501130992,0.6344395160418133,0.0010157654918076175,0.02903903903903904,0.0010157654918076175,0.0002676283680258516,0.0019628711103967414
1,16.088087525861017,0.6187261552205814,0.17113511270747103,0.5873711073193056,14.762959957122803,0.6787253685038666,0.13998192349641486,0.5177238074869945,0.012143243572573834,0.0673736745735688,0.012143243572573834,0.0038030268717367892,0.02057763202599313
2,14.70032625597686,0.6006829092655276,0.1495612120815539,0.5318388094749357,13.295379942861096,0.5541794167767311,0.12957962974905968,0.48887496415911047,0.01619019415403265,0.07687601932974752,0.01619019415403265,0.00662855775356587,0.0267473582978574
3,13.289306282409893,0.5531678567525788,0.12806788980593822,0.4902140305106863,11.979628982215091,0.5266431613728918,0.11748499301230085,0.43413906647213574,0.03186378970777366,0.09814429977306763,0.03186378970777366,0.012796252562768012,0.048108534499256235
4,12.781783936646184,0.5366018829234128,0.12060430477111797,0.47403584809726096,12.076341217961804,0.5349999032914639,0.11233352229063368,0.4415640464887537,0.029919205920222684,0.10063254423116928,0.029919205920222684,0.010590312630595802,0.04612493987459832
5,11.937602279221483,0.514265084318046,0.10619972145249104,0.4508189389050888,11.368368337894308,0.5124426798830772,0.10168208480523579,0.43061875873084726,0.03976006106492473,0.12610928882346123,0.03976006106492473,0.015566248997204843,0.060458584154927456
6,11.88732292264553,0.49193657218969516,0.10895348590766561,0.45712096970803634,12.032761150392993,0.5449388639937187,0.10874766064807773,0.44034086392614347,0.050276412727301545,0.14620140677624135,0.050276412727301545,0.01737546050220026,0.0748225146936941
7,11.38785149076302,0.47532789739481923,0.10145269445799694,0.43116175484260905,9.955622601098028,0.4383557301400037,0.08727228346055951,0.3644160763199987,0.08552765754366,0.16537392463338219,0.08552765754366,0.03714509043524933,0.11274575688179253
8,11.0052933117439,0.4637650174313578,0.09594663774842406,0.4210438363878011,9.934708471955924,0.4438484375332964,0.08486572209874103,0.36661359693469675,0.10529308559699224,0.20306038032331386,0.10529308559699224,0.05240878243181308,0.13867756564971678
9,10.573675920223367,0.4411424377501892,0.09213955609559132,0.40709353821911837,9.848697440377597,0.40574826293721283,0.08812745862865243,0.389510669584932,0.10205787465784566,0.16897559236501078,0.10205787465784566,0.04553041438366239,0.1272557962324939
10,10.09917046401301,0.4269296123366344,0.08772386562336108,0.3918809740267364,10.113485769978885,0.42723452261295813,0.08932529240525489,0.37837102932148964,0.10306276779162264,0.19698733200539206,0.10306276779162264,0.04274340201523263,0.13532446528161415
11,9.97753721270068,0.41301707838996876,0.08669882821919296,0.38806195979194685,9.77149231474975,0.39047240799870986,0.09022324559567817,0.3815958421548893,0.1225726695801216,0.1769441347746477,0.1225726695801216,0.054491168811733805,0.1448233598284786
