epoch,train/loss,train/loss_ce,train/loss_bbox,train/loss_giou,val/loss,val/loss_ce,val/loss_bbox,val/loss_giou,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,metrics/F1
0,19.676774366863263,0.6568797574494535,0.24838839221915687,0.6736414087465453,18.526099589996008,0.6239548093957819,0.23709912025631763,0.6580085692467628,0.00274492382664468,0.02654654654654655,0.00274492382664468,0.0007032426821993187,0.004975390255413021
1,15.573331802311719,0.5975649394324617,0.17515354863977756,0.544856222321161,14.903529716518534,0.5909347952508823,0.15876946756334015,0.5048291808986044,0.013483739545681743,0.06478926970333633,0.013483739545681743,0.004437146030445862,0.022321912659712242
2,14.299020866577488,0.5546963074130871,0.15396988952047802,0.5047093872555087,13.770036140948664,0.5454259996354838,0.15517347857549593,0.4664520343273749,0.019554260861711126,0.07002559936986166,0.019554260861711126,0.0074134548425403264,0.030571577886729786
3,12.871150439823305,0.5315968227261533,0.13118592175424246,0.4581442981884894,12.450442699771939,0.5186715196672972,0.12774024811045173,0.4323681794848793,0.03313136220069027,0.09345626033225189,0.03313136220069027,0.011409487217553804,0.04891999942860246
4,12.05009175611042,0.5154389578541316,0.11918870898241547,0.4249954226113277,11.783989245241338,0.5361698004074427,0.10857532949094133,0.41971181171797056,0.028760377885623526,0.09313302064624115,0.028760377885623526,0.00958385263805265,0.043948907810873156
5,11.930715418479299,0.48259274246292844,0.11660932516162405,0.43809375796196054,11.617324825618175,0.5179362456068332,0.11071105091731785,0.4257360304588879,0.048414259589143055,0.11922129811254806,0.048414259589143055,0.01854045532294285,0.06886380138570423
6,11.243760996623338,0.48828418560225045,0.10944140708227855,0.4091186748516692,10.754069490608199,0.441670755964595,0.10502712844641178,0.4137222711400036,0.06826363665409031,0.12861183841875437,0.06826363665409031,0.0242230696066477,0.08918847615716445
7,11.302932879192761,0.4738560343935222,0.11102885491319194,0.41800037808211016,10.529588221471547,0.49546074712431276,0.09932107764630865,0.38227516657862315,0.03455150610598959,0.10082593960381557,0.03455150610598959,0.013840968166673613,0.05146629927308565
8,10.83260080699709,0.4600746402225277,0.10432814321171782,0.39933872944991183,10.194999645798754,0.4553669952985012,0.09680268762721903,0.3769382986348945,0.06576286545500541,0.15165232376486584,0.06576286545500541,0.025275140254573964,0.09174236077500578
9,10.763102427363837,0.45375145164246034,0.10217382479573883,0.39379153629413516,10.297486568168129,0.4416721748325216,0.09509130135920399,0.36198758401653985,0.05753865242948093,0.13305200829674912,0.05753865242948093,0.022590521751506977,0.08033586988218516
10,10.243516832332869,0.426601195995008,0.0966728517117321,0.37957830102390777,9.900698738825785,0.4253353235912529,0.08771665053224409,0.3673664115982138,0.07833824305272195,0.15814774526109346,0.07833824305272195,0.030460443940394058,0.10477590317159378
11,9.889455847028739,0.41814439360663275,0.09027559541707857,0.3710596148572339,9.552047776453422,0.3969233707561121,0.09194293139236313,0.35638016413945656,0.0851364766670029,0.17409802639052877,0.0851364766670029,0.03442866371940965,0.11435277624505909
12,9.726701104391077,0.4125122193490533,0.08895022872922673,0.36110770591200503,9.568178844013255,0.4277383137768481,0.08620654635163613,0.3601905788694109,0.13100637722838393,0.2197503925729005,0.13100637722838393,0.05448097055445624,0.1641519440482966
13,9.635772400807806,0.41404996719096504,0.08733263743166271,0.3588677674219582,9.71404910371417,0.4046311438954496,0.08803250569672812,0.3486182071042783,0.11394304655623055,0.19909721747795306,0.11394304655623055,0.04420079219216914,0.14493818289029492
14,9.419870777282997,0.3820119864558835,0.08758605809241496,0.3546270583325632,9.042135488032262,0.36984278647092,0.0854080498573326,0.34808516915226395,0.12698823807715373,0.23138604238094365,0.12698823807715373,0.05296444568658954,0.163981108242712
15,9.11581000623221,0.3818274461164721,0.0833145561025153,0.3416317904462209,9.4890876002771,0.3649317481317174,0.09059509086660493,0.3543294553374831,0.14674942290293747,0.24562184741484056,0.14674942290293747,0.06265908350012615,0.1837283567234104
16,9.345997183302329,0.38476392737694276,0.08586672587841565,0.3530509546490986,9.31308857328964,0.35938215317019134,0.08368741903147656,0.3510119492486442,0.131382531129372,0.23359656971539192,0.131382531129372,0.06468257645416522,0.16817679982942663
17,9.08154465458396,0.37155796902348387,0.08321425211460831,0.3455549660982833,9.323528990084991,0.42674169988568983,0.08532829939093424,0.33445268772639236,0.1464572751041422,0.24220466458590223,0.1464572751041422,0.06908773996596215,0.18253722101553432
18,9.370538601892944,0.3897928802133452,0.08634226872102253,0.3547879928670153,9.217237590195296,0.362571871541118,0.07984582356528028,0.35130052671675044,0.15928777258918841,0.24210313863246513,0.15928777258918841,0.06930586858464086,0.19215218188296868
19,8.998472779144047,0.3816687736256018,0.0809548476506507,0.3362879465103296,8.629866509468524,0.3453785484753452,0.07619020641172602,0.3329820405224185,0.1574971142068949,0.28340114170642766,0.1574971142068949,0.06820315156655214,0.20247239077523832
20,8.901478723224377,0.3787260499728887,0.07878256915768772,0.3384754500281796,8.595780053438046,0.3539119797932121,0.07408622087047988,0.3291665445287506,0.15089910580101137,0.2565200799937084,0.15089910580101137,0.06947203430317614,0.19001879165581584
21,8.617628365350857,0.34635587755944375,0.07736843201514385,0.33300860965700246,8.588472603719472,0.3338432457717337,0.07756300694692186,0.3368296631938451,0.16638219271725677,0.3180071166815035,0.16638219271725677,0.07412747279796875,0.2184636214983174
22,8.689152811958229,0.34550333626191654,0.07783983884845504,0.3386372225738042,8.73306606600295,0.35126687806438317,0.07456875095764796,0.341913025487553,0.1582752161076436,0.26300211703043364,0.1582752161076436,0.07179595691940588,0.19762144143708835
23,8.44031502227454,0.3479959156855702,0.07423027592416022,0.326671212599251,8.507615682108577,0.34327547996429914,0.07404961661149413,0.3328496553810128,0.14323279457302102,0.29870554643465036,0.14323279457302102,0.07123557573852193,0.19362171687906837
24,8.467357001123828,0.3409985240397265,0.07605046072214584,0.32735616932410644,8.777029473802228,0.33750345636949397,0.07982483011916344,0.3316241993016495,0.1791843579005269,0.30292322065281246,0.1791843579005269,0.0811652474489477,0.2251742357948787
25,8.459712174611967,0.34520138873409767,0.07534054351646714,0.3276545316274892,8.261376011810261,0.32345784982077747,0.07499773830207654,0.31157510637333896,0.20278458208803402,0.32415311065323676,0.20278458208803402,0.09981425476176366,0.24949155842084816
26,8.35674850126377,0.3368526672991509,0.07525809751375682,0.32442222094638723,8.773706395904739,0.3245304842072325,0.0831637837686193,0.32770702055780404,0.1569212684087856,0.29776815410061425,0.1569212684087856,0.07629956901573477,0.2055299908906288
27,8.455876737281809,0.3364709090997273,0.07658844490555079,0.3300634940165186,8.431375602107027,0.3267242995723759,0.07713373299704228,0.32965886705752573,0.1974786596881771,0.34656138089509353,0.1974786596881771,0.08965705864166537,0.2515935294963706
28,8.347527867033802,0.3323973522977456,0.07404782691265373,0.3272190127434478,8.228182234418341,0.2996453798730813,0.07965895448896018,0.3330482724102545,0.16980788521395884,0.3369166733746749,0.16980788521395884,0.08080139387202039,0.22580751940827262
29,8.338356616905674,0.31271219123545324,0.07684581365514405,0.32747175641881554,7.972873480676056,0.2953289571536697,0.07296810308834176,0.3135357535246647,0.19560662098452652,0.3176860931105369,0.19560662098452652,0.09357465193323038,0.24212891202511394
30,8.040407097589513,0.3086686936630862,0.07204890155156503,0.31924366766331963,7.799946852318652,0.29298869993948895,0.07117354684384354,0.3088387916614483,0.2421125757118949,0.36339395063049806,0.2421125757118949,0.1269919915208831,0.29060709193915485
31,7.90902581660286,0.2971197008947657,0.07048512042790614,0.3170236209372998,7.795431550576057,0.2951297353896679,0.07124274475620938,0.31717229099113703,0.2007984570212273,0.3489242364087258,0.2007984570212273,0.08902746279741167,0.25490469695193585
32,7.975183238818525,0.2913767264629961,0.07219984890656539,0.32094513352055437,7.837201936936482,0.2960731120804301,0.06864242110546533,0.2993732685973118,0.19727949387865928,0.35866626820615444,0.19727949387865928,0.09911829798454985,0.25454821203318395
33,7.794318124192563,0.2875751652576847,0.06976043723716542,0.3142388173540923,7.8654207304700625,0.29876540044072647,0.07357503390705689,0.31210607648282856,0.22103149706182856,0.36976547206176624,0.22103149706182856,0.10487842078805547,0.27667648997193156
34,7.937960199304339,0.2967722879357535,0.07300091597783286,0.3142899077583182,7.941927538031623,0.285600313640631,0.07635652779468469,0.32225478340537,0.2154405208528889,0.3529453957841943,0.2154405208528889,0.09513917003334758,0.26756025325281546
35,7.970453268208721,0.2862358593546157,0.07403105112888222,0.3209276753954323,8.276993686373615,0.2950597965880196,0.07712425689063805,0.3325722487844946,0.24227173448617767,0.30973623734864053,0.24227173448617767,0.1174850507321765,0.2718813469532011
36,7.76643434464564,0.2740201751736559,0.07164254070531793,0.31593102193753314,7.7171941750493405,0.2768782190373772,0.06847269046906528,0.3095904786413882,0.2793766164567477,0.38020420421574164,0.2793766164567477,0.14587833317023322,0.3220838472171621
37,7.683914714728272,0.28504457524156546,0.0690244547149991,0.30733368018442253,7.734607571518266,0.27137412386442417,0.07330316389019871,0.3176696349532057,0.2400399759218789,0.36129486459593463,0.2400399759218789,0.11522227690385665,0.2884423278173171
38,7.734149578908222,0.27413861180567234,0.07111898670260107,0.3117335695226742,7.997209069919792,0.28937063777004873,0.07415229182900031,0.31611266338722016,0.25612761589101435,0.35092815428030216,0.25612761589101435,0.120750119283549,0.296125647498523
39,7.521534643984605,0.26965243941110945,0.06835006888721565,0.30308848804117866,7.6933262572660075,0.2769987539607967,0.07068080381687844,0.31500733608291265,0.23877972501199152,0.340077939429013,0.23877972501199152,0.10906642451273243,0.28056540268123364
40,7.6504180615104085,0.26695365435587365,0.06995841116402138,0.313416884286483,8.03648069642839,0.2677980229758468,0.07573713226751848,0.34520314466127583,0.23513898036768657,0.3337453542638915,0.23513898036768657,0.10368656203734991,0.27589630273397103
41,7.6534728683466975,0.2644168843065059,0.06940467544726835,0.31300534352053844,7.816477922908155,0.25220327066797843,0.0741189094300652,0.3131840797987851,0.2795850340771558,0.34628461440122366,0.2795850340771558,0.1406610705049005,0.30938070236555126
42,7.504002138365947,0.2593555054038823,0.07001080355490988,0.3037641160052302,7.790468212846037,0.25314386910859704,0.08004678652754851,0.33103435002751164,0.2516490858521222,0.3609782930273945,0.2516490858521222,0.11660123456682686,0.2965582688091662
43,7.436155536906787,0.26513230534466775,0.06849665657769884,0.30226175074549405,7.4009266028672585,0.27862074529324776,0.06653396852991798,0.3011086189643645,0.2646954908121307,0.39340100340101436,0.2646954908121307,0.13928806225240747,0.31646262393699953
